T 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
2.05128 0.781319 0.735267 0.68435 0.629232 0.575418 0.51989 0.459668 0.395124 0.326729 0.255046 0.181127 0.10575 0.0284611 0.051679 0.128604 0.203294 0.276885 0.34766 0.414972 0.478282 
2.0763 0.782586 0.736571 0.685666 0.630532 0.576685 0.521101 0.460791 0.396131 0.32759 0.255737 0.181627 0.106046 0.0285412 0.0518243 0.128962 0.203852 0.277629 0.348568 0.416017 0.479435 
2.10131 0.783852 0.737876 0.686983 0.631834 0.577955 0.522314 0.461918 0.397141 0.328454 0.25643 0.182129 0.106343 0.0286216 0.0519702 0.129322 0.204413 0.278375 0.349478 0.417065 0.480591 
2.12633 0.785119 0.739182 0.688302 0.633139 0.579227 0.523531 0.463048 0.398154 0.329321 0.257125 0.182633 0.106641 0.0287023 0.0521166 0.129684 0.204975 0.279125 0.350392 0.418116 0.48175 
2.15134 0.786385 0.740489 0.689623 0.634445 0.580502 0.524751 0.464182 0.399169 0.330191 0.257823 0.183139 0.10694 0.0287834 0.0522635 0.130046 0.20554 0.279877 0.351308 0.41917 0.482912 
2.17636 0.787652 0.741796 0.690944 0.635754 0.58178 0.525974 0.465318 0.400189 0.331063 0.258524 0.183647 0.10724 0.0288647 0.0524111 0.13041 0.206107 0.280631 0.352227 0.420227 0.484077 
2.20138 0.788918 0.743104 0.692268 0.637064 0.58306 0.527199 0.466457 0.401211 0.331939 0.259227 0.184157 0.107542 0.0289464 0.0525592 0.130776 0.206675 0.281388 0.35315 0.421287 0.485245 
2.22639 0.790184 0.744412 0.693592 0.638377 0.584343 0.528428 0.4676 0.402236 0.332817 0.259932 0.184668 0.107845 0.0290283 0.0527078 0.131143 0.207246 0.282148 0.354075 0.422351 0.486417 
2.25141 0.79145 0.745721 0.694918 0.639691 0.585628 0.529659 0.468746 0.403264 0.333699 0.26064 0.185181 0.108148 0.0291106 0.0528571 0.131511 0.207819 0.28291 0.355003 0.423417 0.487591 
2.27642 0.792715 0.747031 0.696245 0.641007 0.586915 0.530894 0.469894 0.404296 0.334583 0.26135 0.185697 0.108453 0.0291932 0.0530069 0.131881 0.208394 0.283675 0.355935 0.424487 0.488769 
2.30144 0.79398 0.748341 0.697573 0.642326 0.588206 0.532131 0.471046 0.405331 0.33547 0.262063 0.186214 0.108759 0.0292761 0.0531572 0.132252 0.208971 0.284443 0.356869 0.42556 0.48995 
2.32645 0.795245 0.749651 0.698903 0.643646 0.589498 0.533371 0.472201 0.406368 0.33636 0.262778 0.186733 0.109067 0.0293593 0.0533082 0.132624 0.20955 0.285213 0.357806 0.426636 0.491133 
2.35147 0.796509 0.750962 0.700234 0.644968 0.590793 0.534614 0.473359 0.407409 0.337253 0.263496 0.187253 0.109375 0.0294428 0.0534597 0.132998 0.210131 0.285986 0.358747 0.427715 0.49232 
2.37649 0.797773 0.752274 0.701566 0.646292 0.592091 0.53586 0.474521 0.408453 0.338149 0.264216 0.187776 0.109685 0.0295267 0.0536117 0.133373 0.210715 0.286762 0.35969 0.428798 0.49351 
2.4015 0.799037 0.753585 0.702899 0.647618 0.593391 0.537108 0.475685 0.4095 0.339048 0.264939 0.188301 0.109995 0.0296109 0.0537644 0.133749 0.2113 0.28754 0.360636 0.429883 0.494703 
2.42652 0.800299 0.754898 0.704233 0.648946 0.594693 0.53836 0.476852 0.41055 0.33995 0.265664 0.188827 0.110307 0.0296953 0.0539176 0.134127 0.211888 0.288321 0.361585 0.430972 0.495898 
2.45153 0.801562 0.75621 0.705568 0.650275 0.595998 0.539614 0.478023 0.411604 0.340854 0.266392 0.189356 0.11062 0.0297801 0.0540714 0.134506 0.212477 0.289104 0.362538 0.432063 0.497097 
2.47655 0.802824 0.757522 0.706905 0.651606 0.597305 0.540871 0.479196 0.41266 0.341762 0.267122 0.189886 0.110934 0.0298653 0.0542258 0.134887 0.213069 0.28989 0.363493 0.433158 0.498299 
2.50156 0.804085 0.758835 0.708242 0.652939 0.598614 0.542131 0.480373 0.41372 0.342672 0.267855 0.190418 0.11125 0.0299507 0.0543807 0.135269 0.213663 0.290679 0.364451 0.434256 0.499504 
2.52658 0.805345 0.760148 0.70958 0.654274 0.599926 0.543394 0.481552 0.414782 0.343586 0.26859 0.190953 0.111566 0.0300365 0.0545363 0.135653 0.214259 0.29147 0.365412 0.435357 0.500712 
2.55159 0.806605 0.761461 0.71092 0.65561 0.60124 0.544659 0.482735 0.415848 0.344502 0.269328 0.191489 0.111884 0.0301226 0.0546924 0.136038 0.214857 0.292264 0.366377 0.436461 0.501923 
2.57661 0.807864 0.762775 0.71226 0.656948 0.602556 0.545928 0.48392 0.416917 0.345421 0.270068 0.192027 0.112203 0.030209 0.0548491 0.136424 0.215457 0.293061 0.367344 0.437568 0.503137 
2.60163 0.809122 0.764088 0.713601 0.658288 0.603875 0.547199 0.485109 0.417989 0.346343 0.270811 0.192567 0.112523 0.0302957 0.0550064 0.136812 0.216059 0.29386 0.368314 0.438679 0.504353 
2.62664 0.810379 0.765401 0.714943 0.659629 0.605196 0.548472 0.486301 0.419064 0.347269 0.271556 0.193108 0.112844 0.0303827 0.0551642 0.137201 0.216663 0.294663 0.369287 0.439792 0.505573 
2.65166 0.811636 0.766715 0.716286 0.660972 0.606519 0.549749 0.487496 0.420142 0.348197 0.272304 0.193652 0.113166 0.0304701 0.0553227 0.137591 0.21727 0.295467 0.370264 0.440908 0.506796 
2.67667 0.812891 0.768028 0.71763 0.662316 0.607844 0.551028 0.488694 0.421223 0.349127 0.273055 0.194198 0.11349 0.0305578 0.0554818 0.137983 0.217878 0.296275 0.371243 0.442028 0.508022 
2.70169 0.814146 0.769341 0.718975 0.663662 0.609172 0.55231 0.489894 0.422307 0.350061 0.273808 0.194746 0.113815 0.0306459 0.0556414 0.138377 0.218489 0.297085 0.372225 0.443151 0.50925 
2.7267 0.815399 0.770654 0.72032 0.66501 0.610501 0.553595 0.491098 0.423394 0.350998 0.274563 0.195295 0.114141 0.0307342 0.0558016 0.138772 0.219102 0.297898 0.37321 0.444277 0.510482 
2.75172 0.816652 0.771968 0.721666 0.666359 0.611833 0.554882 0.492305 0.424485 0.351938 0.275321 0.195847 0.114468 0.0308229 0.0559625 0.139168 0.219717 0.298713 0.374199 0.445406 0.511716 
2.77674 0.817903 0.77328 0.723013 0.66771 0.613167 0.556172 0.493515 0.425578 0.352881 0.276082 0.1964 0.114796 0.0309119 0.0561239 0.139566 0.220334 0.299531 0.37519 0.446538 0.512954 
2.80175 0.819154 0.774593 0.72436 0.669062 0.614503 0.557464 0.494728 0.426675 0.353826 0.276845 0.196956 0.115126 0.0310013 0.0562859 0.139965 0.220954 0.300352 0.376184 0.447673 0.514194 
2.82677 0.820403 0.775906 0.725708 0.670415 0.615842 0.55876 0.495943 0.427775 0.354775 0.27761 0.197513 0.115456 0.031091 0.0564485 0.140366 0.221575 0.301176 0.377182 0.448811 0.515437 
2.85178 0.821651 0.777218 0.727057 0.67177 0.617182 0.560058 0.497162 0.428878 0.355726 0.278379 0.198073 0.115788 0.031181 0.0566117 0.140768 0.222199 0.302002 0.378182 0.449952 0.516684 
2.8768 0.822898 0.77853 0.728406 0.673126 0.618524 0.561358 0.498384 0.429983 0.356681 0.27915 0.198634 0.116122 0.0312713 0.0567756 0.141171 0.222825 0.302831 0.379185 0.451096 0.517933 
2.90181 0.824144 0.779841 0.729756 0.674484 0.619869 0.562661 0.499609 0.431092 0.357638 0.279923 0.199198 0.116456 0.031362 0.05694 0.141576 0.223453 0.303662 0.380192 0.452244 0.519185 
2.92683 0.825388 0.781152 0.731106 0.675842 0.621215 0.563967 0.500836 0.432204 0.358599 0.280699 0.199763 0.116792 0.031453 0.057105 0.141983 0.224083 0.304497 0.381201 0.453394 0.520439 
2.95184 0.826631 0.782463 0.732457 0.677203 0.622564 0.565275 0.502067 0.43332 0.359562 0.281477 0.20033 0.117128 0.0315443 0.0572706 0.142391 0.224715 0.305334 0.382214 0.454548 0.521697 
2.97686 0.827872 0.783773 0.733808 0.678564 0.623914 0.566586 0.5033 0.434438 0.360528 0.282259 0.200899 0.117466 0.031636 0.0574369 0.1428 0.22535 0.306174 0.383229 0.455704 0.522958 
3.00188 0.829112 0.785083 0.735159 0.679927 0.625267 0.567899 0.504537 0.435559 0.361497 0.283042 0.201471 0.117806 0.031728 0.0576037 0.143211 0.225987 0.307016 0.384247 0.456864 0.524221 
3.02689 0.830351 0.786392 0.736511 0.681291 0.626621 0.569215 0.505776 0.436683 0.36247 0.283829 0.202044 0.118146 0.0318204 0.0577712 0.143623 0.226626 0.307862 0.385269 0.458026 0.525487 
3.05191 0.831588 0.787701 0.737864 0.682656 0.627978 0.570534 0.507019 0.437811 0.363445 0.284618 0.202619 0.118488 0.0319131 0.0579393 0.144037 0.227267 0.30871 0.386293 0.459192 0.526756 
3.07692 0.832824 0.789009 0.739216 0.684022 0.629336 0.571855 0.508264 0.438941 0.364423 0.285409 0.203197 0.118831 0.0320061 0.058108 0.144452 0.22791 0.30956 0.387321 0.460361 0.528028 
