T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
2.62664 0.00513229 0.00783612 0.0125646 0.0201366 0.0277397 0.0217105 0.0160754 0.0123577 0.010057 0.0055734 0.00832761 0.0131091 0.020737 0.0284599 0.0224948 0.0169264 0.013278 0.0110495 
2.65166 0.00512372 0.00782797 0.0125646 0.0201678 0.027803 0.0217253 0.0160656 0.0123402 0.010038 0.00556696 0.00832183 0.0131118 0.0207711 0.0285267 0.0225133 0.0169206 0.0132649 0.0110353 
2.67667 0.00511516 0.00781979 0.0125646 0.020199 0.0278666 0.02174 0.0160556 0.0123226 0.0100189 0.00556053 0.00831603 0.0131145 0.0208052 0.0285937 0.0225318 0.0169147 0.0132519 0.011021 
2.70169 0.00510659 0.00781158 0.0125646 0.0202302 0.0279302 0.0217546 0.0160455 0.0123051 0.00999986 0.00555412 0.00831021 0.0131171 0.0208393 0.0286609 0.0225502 0.0169088 0.0132388 0.0110068 
2.7267 0.00509802 0.00780334 0.0125644 0.0202614 0.027994 0.021769 0.0160354 0.0122875 0.00998084 0.00554771 0.00830437 0.0131196 0.0208734 0.0287282 0.0225685 0.0169028 0.0132257 0.0109926 
2.75172 0.00508946 0.00779507 0.0125642 0.0202925 0.0280579 0.0217834 0.0160252 0.0122699 0.00996183 0.00554131 0.00829852 0.013122 0.0209075 0.0287956 0.0225867 0.0168968 0.0132127 0.0109785 
2.77674 0.00508089 0.00778677 0.0125639 0.0203236 0.0281219 0.0217976 0.0160149 0.0122523 0.00994283 0.00553492 0.00829265 0.0131244 0.0209416 0.0288632 0.0226048 0.0168907 0.0131996 0.0109644 
2.80175 0.00507232 0.00777844 0.0125635 0.0203547 0.028186 0.0218117 0.0160045 0.0122347 0.00992385 0.00552854 0.00828677 0.0131267 0.0209756 0.0289309 0.0226228 0.0168845 0.0131865 0.0109504 
2.82677 0.00506374 0.00777009 0.012563 0.0203857 0.0282503 0.0218258 0.015994 0.012217 0.00990488 0.00552218 0.00828087 0.013129 0.0210097 0.0289988 0.0226407 0.0168783 0.0131735 0.0109364 
2.85178 0.00505517 0.0077617 0.0125625 0.0204167 0.0283147 0.0218396 0.0159835 0.0121993 0.00988593 0.00551582 0.00827496 0.0131312 0.0210437 0.0290668 0.0226586 0.0168721 0.0131604 0.0109224 
2.8768 0.0050466 0.00775329 0.0125619 0.0204477 0.0283792 0.0218534 0.0159728 0.0121816 0.00986699 0.00550948 0.00826903 0.0131334 0.0210777 0.0291349 0.0226763 0.0168657 0.0131474 0.0109085 
2.90181 0.00503803 0.00774485 0.0125612 0.0204786 0.0284438 0.0218671 0.0159621 0.0121639 0.00984807 0.00550315 0.00826309 0.0131354 0.0211117 0.0292032 0.022694 0.0168593 0.0131343 0.0108946 
2.92683 0.00502945 0.00773638 0.0125605 0.0205096 0.0285086 0.0218806 0.0159513 0.0121461 0.00982916 0.00549683 0.00825713 0.0131375 0.0211457 0.0292717 0.0227115 0.0168529 0.0131213 0.0108808 
2.95184 0.00502088 0.00772788 0.0125596 0.0205404 0.0285734 0.0218941 0.0159404 0.0121284 0.00981027 0.00549052 0.00825115 0.0131394 0.0211797 0.0293402 0.022729 0.0168464 0.0131082 0.010867 
2.97686 0.0050123 0.00771935 0.0125587 0.0205713 0.0286384 0.0219074 0.0159294 0.0121106 0.00979139 0.00548422 0.00824517 0.0131413 0.0212136 0.0294089 0.0227463 0.0168398 0.0130952 0.0108532 
3.00188 0.00500372 0.00771079 0.0125577 0.0206021 0.0287035 0.0219205 0.0159184 0.0120928 0.00977253 0.00547794 0.00823916 0.0131432 0.0212476 0.0294778 0.0227636 0.0168332 0.0130822 0.0108395 
