T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
1.72608 0.00543901 0.00810914 0.012514 0.0190057 0.0255474 0.0211129 0.0163757 0.0129708 0.0107522 0.00718569 0.0106768 0.0164294 0.0249025 0.0334547 0.0276892 0.0215297 0.0171073 0.0142316 
1.75109 0.00543055 0.0081021 0.0125166 0.0190371 0.0256058 0.0211311 0.0163688 0.0129542 0.0107327 0.00719513 0.0106979 0.0164792 0.0250136 0.0336251 0.027791 0.0215817 0.0171343 0.0142468 
1.77611 0.00542208 0.00809504 0.0125191 0.0190685 0.0256644 0.0211491 0.0163618 0.0129376 0.0107132 0.00720474 0.0107193 0.0165294 0.0251258 0.0337973 0.0278936 0.0216342 0.0171618 0.0142624 
1.80113 0.0054136 0.00808794 0.0125216 0.0190999 0.0257231 0.0211671 0.0163548 0.012921 0.0106937 0.00721453 0.0107409 0.0165802 0.0252391 0.0339712 0.0279973 0.0216872 0.0171897 0.0142783 
1.82614 0.00540513 0.00808081 0.012524 0.0191314 0.025782 0.021185 0.0163476 0.0129044 0.0106742 0.0072245 0.0107628 0.0166315 0.0253535 0.0341469 0.028102 0.0217409 0.017218 0.0142946 
1.85116 0.00539665 0.00807365 0.0125263 0.0191628 0.025841 0.0212028 0.0163404 0.0128877 0.0106547 0.00723466 0.010785 0.0166832 0.025469 0.0343244 0.0282076 0.0217951 0.0172467 0.0143113 
1.87617 0.00538816 0.00806646 0.0125286 0.0191943 0.0259001 0.0212205 0.0163331 0.012871 0.0106352 0.007245 0.0108075 0.0167355 0.0255857 0.0345038 0.0283143 0.02185 0.0172759 0.0143283 
1.90119 0.00537967 0.00805924 0.0125308 0.0192257 0.0259594 0.0212381 0.0163258 0.0128543 0.0106158 0.00725553 0.0108302 0.0167883 0.0257035 0.034685 0.028422 0.0219055 0.0173056 0.0143457 
1.9262 0.00537118 0.00805198 0.0125329 0.0192572 0.0260188 0.0212557 0.0163183 0.0128376 0.0105963 0.00726625 0.0108533 0.0168417 0.0258225 0.0348682 0.0285307 0.0219615 0.0173357 0.0143635 
1.95122 0.00536269 0.00804469 0.012535 0.0192886 0.0260784 0.0212732 0.0163107 0.0128208 0.0105769 0.00727716 0.0108766 0.0168956 0.0259426 0.0350532 0.0286405 0.0220182 0.0173662 0.0143817 
1.97624 0.00535419 0.00803737 0.012537 0.0193201 0.0261382 0.0212906 0.0163031 0.012804 0.0105575 0.00728827 0.0109002 0.01695 0.026064 0.0352402 0.0287514 0.0220755 0.0173972 0.0144002 
2.00125 0.00534569 0.00803002 0.012539 0.0193516 0.026198 0.0213079 0.0162954 0.0127871 0.0105381 0.00729956 0.0109241 0.0170049 0.0261866 0.0354291 0.0288633 0.0221335 0.0174287 0.0144192 
2.02627 0.00533718 0.00802264 0.0125408 0.019383 0.026258 0.0213251 0.0162876 0.0127703 0.0105187 0.00731106 0.0109484 0.0170604 0.0263104 0.03562 0.0289763 0.0221921 0.0174606 0.0144385 
2.05128 0.00532868 0.00801522 0.0125426 0.0194145 0.0263182 0.0213423 0.0162797 0.0127534 0.0104993 0.00732276 0.0109729 0.0171165 0.0264354 0.0358129 0.0290905 0.0222513 0.0174931 0.0144583 
2.0763 0.00532017 0.00800778 0.0125444 0.019446 0.0263785 0.0213593 0.0162718 0.0127365 0.0104799 0.00733466 0.0109977 0.0171731 0.0265617 0.0360079 0.0292057 0.0223112 0.017526 0.0144784 
2.10131 0.00531165 0.0080003 0.012546 0.0194775 0.0264389 0.0213763 0.0162637 0.0127195 0.0104606 0.00734676 0.0110229 0.0172303 0.0266893 0.0362049 0.0293221 0.0223718 0.0175594 0.014499 
2.12633 0.00530314 0.00799279 0.0125476 0.0195089 0.0264995 0.0213932 0.0162556 0.0127026 0.0104412 0.00735907 0.0110484 0.0172881 0.0268181 0.0364041 0.0294396 0.022433 0.0175932 0.0145199 
2.15134 0.00529462 0.00798525 0.0125492 0.0195404 0.0265602 0.02141 0.0162474 0.0126856 0.0104219 0.00737158 0.0110742 0.0173464 0.0269483 0.0366053 0.0295583 0.022495 0.0176276 0.0145413 
2.17636 0.00528609 0.00797768 0.0125506 0.0195719 0.0266211 0.0214267 0.0162391 0.0126685 0.0104026 0.00738431 0.0111003 0.0174054 0.0270798 0.0368087 0.0296781 0.0225576 0.0176625 0.0145631 
2.20138 0.00527757 0.00797008 0.012552 0.0196033 0.0266821 0.0214433 0.0162307 0.0126515 0.0103833 0.00739724 0.0111267 0.0174649 0.0272126 0.0370143 0.0297991 0.0226209 0.0176979 0.0145853 
2.22639 0.00526904 0.00796244 0.0125533 0.0196348 0.0267432 0.0214598 0.0162222 0.0126344 0.010364 0.0074104 0.0111535 0.0175251 0.0273467 0.037222 0.0299213 0.0226849 0.0177338 0.014608 
2.25141 0.00526051 0.00795478 0.0125546 0.0196663 0.0268045 0.0214762 0.0162137 0.0126173 0.0103447 0.00742377 0.0111806 0.0175859 0.0274822 0.037432 0.0300448 0.0227496 0.0177702 0.0146311 
2.27642 0.00525198 0.00794708 0.0125557 0.0196977 0.0268659 0.0214925 0.0162051 0.0126002 0.0103254 0.00743736 0.011208 0.0176473 0.0276191 0.0376443 0.0301694 0.0228151 0.0178072 0.0146546 
2.30144 0.00524344 0.00793935 0.0125568 0.0197291 0.0269274 0.0215087 0.0161964 0.012583 0.0103062 0.00745117 0.0112358 0.0177093 0.0277574 0.0378588 0.0302953 0.0228812 0.0178447 0.0146785 
2.32645 0.00523491 0.00793159 0.0125579 0.0197606 0.0269891 0.0215249 0.0161876 0.0125658 0.0102869 0.0074652 0.0112639 0.0177719 0.0278972 0.0380757 0.0304225 0.0229481 0.0178827 0.0147029 
